Slide;Pular Tópico;Personagem 1 Corpo;Personagem 1 Rosto;Personagem 2 Corpo;Personagem 2 Rosto;Personagem 3 Corpo;Personagem 3 Rosto;Origem Texto;Dialogo
3;;;;;;;;Na;Rebeca dá um pulinho de alegria.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;E, claro, o verdadeiro motivo por trás do nome da empresa não poderia ser outro.
3;;Falando;Feliz;Reagindo;Surpresa;Reagindo;Vergonha;Rq;A C.A.F.E. é abastecida por uma quantidade absurda de máquinas de café espalhadas por todos os ambientes.
3;;Falando;Feliz;;Feliz;Reagindo;Vergonha;Rq;São 212 modos de preparo diferentes, dos quais 9 são oficialmente proibidos em toda a América Latina, por razões que o departamento jurídico recomenda não detalhar.
3;;Reagindo;Vergonha;;Extra;Falando;Feliz;Rb;Eu já tomei alguns desses... Nada demais.
3;;;;;;;;Na;A autodeclarada rainha do RH dá de ombros.
3;;Falando;Feliz;;Bravo;Reagindo;Vergonha;Rq;A C.A.F.E. atua como um Provedor de Serviços Gerenciados de Segurança.
3;;Falando;Feliz;;Extra;;Feliz;Rq;Em termos práticos, somos responsáveis por monitorar continuamente os ativos de diferentes organizações por meio de um SOC.
3;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Ei, segura as pontas aí, miga!
3;;;;;;;;Na;A representante dos recursos humanos levanta a mão.
3;;Reagindo;Vergonha;;Surpresa;Falando;Feliz;Rb;“Serviços gerenciados”, “SOC”? O que isso quer dizer?
3;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Tipo… É claro que eu sei! Mas os nossos queridíssimos assistidores não sabem.
3;;;;;;;;Na;Rebeca dá um sorriso nervoso para a câmera.
3;;;Feliz;Falando;Feliz;Reagindo;Vergonha;Rf;Permita-me traduzir os pergaminhos técnicos…
3;;;Surpresa;Falando;Extra;Reagindo;Surpresa;Rf;O SOC nada mais é do que o salão onde atuam os guerreiros digitais contratados para defender um reino.
3;;;Feliz;Falando;Feliz;Reagindo;Vergonha;Rf;Um monarca, ao contratar um serviço gerenciado, está convocando aventureiros para proteger seus ativos.
3;;;Surpresa;Falando;Extra;;Surpresa;Rf;Que nada mais são do que os tesouros, relíquias ou especiarias raras.
3;;;Feliz;Falando;Extra;;Feliz;Rf;Como pimenta-do-reino.
3;;;;;;;;Na;Rafael imita o gesto de salpicar pimenta.
3;;Reagindo;Surpresa;Falando;Feliz;Reagindo;Surpresa;Rf;E é precisamente nesse ponto que entramos.
3;;Reagindo;Surpresa;Falando;Extra;Reagindo;Extra;Rf;Dentro dessa taverna de operações com nome de cafeína, lançamos feitiços para detectar as magias das sombras…
3;;;;;;;;Na;O analista pleno faz alguns gestos difíceis de definir com as mãos, como se estivesse conjurando alguma coisa.
3;;;Feliz;Falando;Feliz;;Feliz;Rf;Como rolar a magia de Detectar o Bem e Mal…
3;;;Feliz;Falando;Feliz;;Feliz;Rf;Ou então debuffar nossos inimigos com o poderoso feitiço chamado de Perdição.
3;;;Surpresa;Falando;Feliz;Reagindo;Surpresa;Rf;A nossa nobre missão é proteger esses ativos até a morte!
3;;;;;;;;Na;O autodeclarado escudeiro digital ergue uma das mãos ao alto, como se brandasse uma espada imaginária.
3;;;Feliz;Reagindo;Vergonha;Falando;Feliz;Rb;Jesus...
3;;;;;;;;Na;Rebeca se arrepende de ter perguntado.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;Deixe que eu explico.
3;;Falando;Feliz;Reagindo;Surpresa;;Medo;Rq;A C.A.F.E. é um SOC, que por sua vez é um Centro de Operações de Segurança.
3;;Falando;Feliz;;Bravo;;Medo;Rq;É o local onde profissionais monitoram continuamente os sistemas de uma organização em busca de ameaças e comportamentos suspeitos.
3;;Falando;Feliz;;Extra;;Feliz;Rq;Ativos são todos os recursos relevantes para a organização, como servidores, sistemas, bancos de dados e informações.
3;;Falando;Feliz;Reagindo;Surpresa;;Medo;Rq;Já os serviços gerenciados consistem em contratar uma equipe especializada para monitorar, proteger e responder a possíveis ameaças envolvendo esses ativos.
3;;Falando;Feliz;;Extra;;Feliz;Rq;Basicamente deixar o trabalho pesado para outras pessoas.
3;;Falando;Feliz;;Extra;;Feliz;Rq;Uma empresa como a PetroCais…
3;;Falando;Feliz;;Extra;Reagindo;Vergonha;Rq;Que é referência absoluta na indústria, uma divindade corporativa movida a petróleo…
3;;;;;;;;Na;Raquel recita a frase com visível desgosto, como se estivesse sendo obrigada a ler um material publicitário.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;…Poderia ter optado por diferentes modelos de SOC.
3;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Um modelo interno, com equipe própria.
3;;Falando;Feliz;;Extra;;Feliz;Rq;A terceirização completa do serviço, como ocorreu no nosso caso, em que contrataram a equipe da C.A.F.E. para realizar todo o trabalho por eles.
3;;Falando;Feliz;;Extra;;Feliz;Rq;Ou ainda um modelo híbrido.
3;;Reagindo;Vergonha;Falando;Feliz;;Surpresa;Rf;Louvemos os deuses dos empregos!
3;;;Feliz;Falando;Extra;Reagindo;Surpresa;Rf;Pois, caso outro caminho tivesse sido escolhido, talvez estivéssemos vagando pelas tavernas do Linkedrin em busca de novas quests...
3;;;;;;;;Na;Rafael leva uma das mãos ao peito com dramaticidade, como se fosse um membro do clube de teatro.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;…
3;;;;;;;;Na;Raquel se arrepende de ter explicado.
3;;Falando;Triste;Reagindo;Surpresa;;Feliz;Rq;E a verdadeira missão da C.A.F.E. não é apenas proteger ativos.
3;;Falando;Feliz;Reagindo;Vergonha;;Medo;Rq;Um dos principais motivos que levaram seus fundadores a criar a companhia foi oferecer soluções de segurança cibernética mais inteligentes, ágeis e confiáveis para empresas.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;O outro motivo era gerar lucro financeiro.
3;;;;;;;;Na;Rafael e Rebeca ficam visivelmente assustados assim que a gerente cita isso, sabendo que é um grande tabu dizer que empresas corporativas querem ganhar dinheiro.
3;;Falando;Triste;;Surpresa;;Surpresa;Rq;Não quantias exorbitantes, que só seriam possíveis através da exploração de funcionários ou atividades ilegais, mas algum valor significativo que faça valer a pena a empresa existir.
3;;Falando;Feliz;;Surpresa;Reagindo;Surpresa;Rq;Eles sempre deixaram isso muito claro, o que eu, genuinamente, admiro como postura empresarial.
3;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Afinal, todos aqui precisamos pagar nossas contas.
3;;;;;;;;Na;Os dois ajudantes respiram aliviados e concordam com a cabeça.
3;;Falando;Feliz;;Feliz;;Feliz;Rq;Uma parte considerável desse valor foi reinvestida na empresa de café da nossa CEO, Jéssica Ferreira.
3;;Falando;Feliz;;Surpresa;;Surpresa;Rq;É por isso que temos tantos sabores de café, como mencionei anteriormente.
3;;;Surpresa;Reagindo;Surpresa;Falando;Feliz;Rb;É uma diva! Empoderada! Simplesmente babilônica!
3;;;;;;;;Na;Rebeca confere discretamente se a gravação ainda está ativa, ela sempre puxa o saco dos superiores quando está na frente da câmera.
4;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Passando para o próximo tópico, agora falaremos com mais aprofundamento sobre como funciona um SOC de fato.
4;;Falando;Feliz;;Extra;Reagindo;Vergonha;Rq;Vamos destrinchar suas atividades, estrutura, processos e…
4;;Falando;Surpresa;Reagindo;Surpresa;;Surpresa;Rq;SOC é top?!
4;;Falando;Feliz;Reagindo;Vergonha;;Surpresa;Rq;Essa apresentação de slides foi revisada?
4;;;Feliz;Falando;Feliz;Reagindo;Extra;Rf;Não faço ideia.
4;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Eu gostei do slogan!
4;;;;;;;;Na;A mulher mais serelepe sorri, enquanto a gerente começa a utilizar algumas técnicas de meditação para se acalmar e evitar mais estresse.
4;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;De qualquer forma… O SOC é uma unidade centralizada responsável pela resposta a incidentes cibernéticos.
4;;Falando;Feliz;;Bravo;;Medo;Rq;Suas principais atribuições incluem o planejamento e a prevenção de incidentes, o monitoramento e a resposta a ataques, bem como a recuperação pós-incidente.
4;;Falando;Feliz;;Feliz;Reagindo;Vergonha;Rq;O funcionamento do Centro de Operações baseia-se na integração entre pessoas, processos e tecnologia.
4;;Falando;Feliz;;Extra;Reagindo;Surpresa;Rq;As pessoas, nesse contexto, são profissionais com competências técnicas e de gestão.
4;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Os processos são a definição e a padronização de fluxos de trabalho.
4;;Falando;Feliz;;Bravo;;Medo;Rq;E a tecnologia seriam as ferramentas e aplicações de segurança.
4;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Deseja otimizar seu tempo avançando para o próximo tópico ou aprofundar seus conhecimentos permanecendo neste conteúdo?
4;16;;Surpresa;;Surpresa;Falando;Feliz;Rb;Lembrando que se a queridíssima alma que tá assistindo continuar com a gente, suas chances de ficar com a pessoa mais gata que você conhece aumentam em 25%.
4;;Falando;Feliz;Reagindo;Vergonha;Reagindo;Surpresa;Rq;Esclarecemos que os dados percentuais apresentados pela senhorita Rebeca Hernandes não possuem fundamento científico.
4;;;Feliz;;Extra;Falando;Feliz;Rb;Pode criticar meus métodos, mas não meus resultados
5;;Falando;Feliz;;Extra;;Feliz;Rq;Enfim…
5;;Falando;Feliz;;Extra;;Feliz;Rq;Iniciaremos a análise do SOC a partir de suas principais atividades.
5;;Falando;Feliz;;Extra;;Feliz;Rq;Elas podem ser divididas em três grandes categorias.
5;;;;;;;;Na;Raquel faz o gesto de número três com uma das mãos.
5;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;A primeira categoria é a de planejamento e prevenção. Ela contempla a análise e mapeamento do ambiente, a aplicação de atualizações e a implementação de rotinas de backup.
5;;Falando;Feliz;;Feliz;Reagindo;Surpresa;Rq;Assim como realizado pela C.A.F.E., por meio do mapeamento adequado dos ativos da PetroCais…
5;;Falando;Feliz;;Extra;;Feliz;Rq;A melhor petrolífera de todos os tempos…
5;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;Uma etapa que permitiu à equipe conduzir, com mais eficiência, a análise subsequente dos logs.
5;;;Surpresa;;Surpresa;Falando;Feliz;Rb;Esse é um jeito chatérrimo de dizer que é melhor prevenir do que remediar?
5;;Falando;Feliz;Reagindo;Vergonha;;Feliz;Rq;Precisamente.
5;;;Feliz;Falando;Extra;;Feliz;Rf;É sempre bom conhecer o mapa antes de rolar os dados.
5;;;;;;;;Na;A moça do RH revira os olhos.
5;;Falando;Feliz;;Feliz;;Feliz;Rq;O SOC também pode ser responsável pelo desenvolvimento da política de resposta a incidentes.
5;;Falando;Feliz;;Extra;;Feliz;Rq;Que não possui qualquer relação com políticas públicas, ideologias políticas, Brasília e afins.
5;;;;;;;;Na;A especialista em contenção de danos diz isso olhando para seus colegas de apresentação, como se estivesse prevenindo uma pergunta idiota que poderia vir em seguida.
5;;Falando;Feliz;Reagindo;Vergonha;;Medo;Rq;Trata-se, na verdade, de um conjunto estruturado de diretrizes, regras e fluxos de atuação a serem seguidos diante de eventos e incidentes de segurança.
5;;Reagindo;Vergonha;Falando;Feliz;;Medo;Rf;Os incidentes de segurança são como uma brecha nos muros do reino…
5;;;Feliz;;Extra;Falando;Feliz;Rb;Lá vai o nerdola dar seu showzinho de novo…
5;;;Feliz;Falando;Extra;;Feliz;Rf;Eles dissipam as magias de proteção e exigem uma ação coordenada dos escudeiros para conter os danos e restaurar a ordem do castelo.
5;;;Feliz;Falando;Extra;;Feliz;Rf;E não é fácil fazer a party fazer os combos certos quando o inimigo tem pontos de vida demais.
5;;Falando;Feliz;;Surpresa;;Surpresa;Rq;Um incidente de segurança da informação é qualquer evento que comprometa a confidencialidade, integridade ou disponibilidade da informação, exigindo uma resposta estruturada para mitigar danos e restaurar a normalidade operacional.
5;;;Surpresa;Falando;Extra;;Surpresa;Rf;É aí que entram os playbooks! Como um grimório antigo… Ou o livro do jogador. Eles descrevem todos os ataques, defesas e magias disponíveis.
5;;;;;;;;Na;Rafael faz uma pose, como se estivesse abrindo um livro.
5;;;;;;;;Na;Talvez ele devesse diminuir o número de sessões semanais de RPG.
5;;Falando;Feliz;Reagindo;Surpresa;;Feliz;Rq;Certo… Explicarei os playbooks com mais detalhes em breve.
5;;Falando;Feliz;;Feliz;;Feliz;Rq;Na categoria de monitoramento e resposta, as equipes utilizam ferramentas capazes de correlacionar logs e identificar comportamentos suspeitos.
5;;Falando;Feliz;;Extra;;Feliz;Rq;E uma das nossas patrocinadoras de hoje é a ferramenta SIEMtinel.
5;;Falando;Feliz;;Bravo;;Medo;Rq;A ferramenta SIEM auxilia a nossa equipe a relacionar os logs de todos os ativos das empresas para as quais prestamos serviço, além de sugerir prioridades de atendimento com base no risco das ameaças.
5;;Falando;Feliz;;Extra;Reagindo;Surpresa;Rq;SIEMtinel… porque você não pode viver SIEM ele.
5;;;;;;;;Na;A gerente esboça um sorriso forçado, determinado pelo cronograma.
